Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2010-01-04,15.494030952453613,15.562261012875917,15.431980132530704,15.498974912798028,78541293
2010-01-05,15.425801277160645,15.520977485684698,15.365233738486378,15.504661374908462,120638494
2010-01-06,15.036935806274414,15.472028932171234,14.989965816064197,15.472028932171234,159744526
2010-01-07,14.686882972717285,15.079951015605502,14.651037130023473,15.065118187830487,257533695
2010-01-08,14.882676124572754,14.91308294980098,14.563525147974998,14.634968834459002,189680313
2010-01-11,14.86017894744873,14.942994779780388,14.685399583578043,14.942994779780388,289597429
2010-01-12,14.597392082214355,14.787251333607701,14.536084322053597,14.7746439031238,194859654
2010-01-13,14.51358699798584,14.545477104651185,14.187514680275772,14.251541949642075,260838034
2010-01-14,14.581817626953125,14.689355153034747,14.407779433154388,14.43472557868209,170239717
2010-01-15,14.338314056396484,14.67353408600071,14.289859834632743,14.668095066714255,218194794
2010-01-19,14.526690483093262,14.595910666827788,14.246598966046939,14.367980160416268,173315202
2010-01-20,14.348448753356934,14.486146043459122,14.221875610346434,14.486146043459122,130515377
2010-01-21,14.411982536315918,14.506912634358784,14.14672386753648,14.423354686502252,253253712
2010-01-22,13.596923828125,14.105934037671828,13.222396346260087,13.955134252844775,273035583
2010-01-25,13.349465370178223,13.593711038462578,13.23846715756025,13.51237753666758,177458675
2010-01-26,13.409289360046387,13.586787280163696,13.257748414083053,13.299279383414454,174873019
2010-01-27,13.401379585266113,13.5385818238523,13.233521573503348,13.38086068218612,159170382
2010-01-28,13.208306312561035,13.522512359620043,13.117083950203009,13.460461540186232,129648138
2010-01-29,13.100768089294434,13.373937263472637,12.993724681026071,13.312134449931941,166240784
2010-02-01,13.176910400390625,13.245883526893737,13.10966855937559,13.215970813548351,90369462
2010-02-02,13.1299409866333,13.224869194178345,13.043168468179537,13.224869194178345,164462143
2010-02-03,13.369736671447754,13.401380671334936,13.058496208662708,13.069373301175528,120413655
2010-02-04,13.022649765014648,13.300020797363052,12.992489998192983,13.275300996015122,135614418
2010-02-05,13.134142875671387,13.188776337698906,12.915854190453786,13.062699190448852,126713179
2010-02-08,13.188035011291504,13.398907279837083,13.140075849279194,13.164055430285348,108175956
2010-02-09,13.261456489562988,13.38728752064,13.22758898893557,13.338093080462592,113206742
2010-02-10,13.212261199951172,13.29482997587977,13.04514625327213,13.202867391328862,107380987
2010-02-11,13.260468482971191,13.36157782102874,13.089891910591373,13.184326002880669,96761331
2010-02-12,13.179381370544434,13.279008367323831,13.114611990452934,13.175673637087096,91529795
2010-02-16,13.381601333618164,13.451562678273175,13.208553258620112,13.27208641369926,146723904
2010-02-17,13.305213928222656,13.433516467363448,13.290381100592246,13.39890685175077,81492313
2010-02-18,13.42906665802002,13.473318085008215,13.254040238048427,13.288649853761475,93826371
2010-02-19,13.368252754211426,13.449090243615741,13.342047776967057,13.362565732708601,102506786
2010-02-22,13.418684005737305,13.534873229911547,13.374185521632349,13.53116549619023,86105539
2010-02-23,13.22758960723877,13.439203045056287,13.158863538930728,13.423629048749254,115334688
2010-02-24,13.138592720031738,13.310899637520027,13.114861141362335,13.200643542755818,93412827
2010-02-25,13.013995170593262,13.064921838384395,12.85503876701657,13.031053394051265,132864148
2010-02-26,13.023143768310547,13.145514119915696,12.94106910633179,13.038470707620638,82279251
2010-03-01,13.16875171661377,13.183584544021825,13.046381363784729,13.082475208194207,89851528
2010-03-02,13.375669479370117,13.48938624770415,13.22610497529231,13.237725128021061,174925214
2010-03-03,13.480981826782227,13.550201059604445,13.33092415479678,13.40780591106751,124039193
2010-03-04,13.7101469039917,13.7482171961413,13.50273532550303,13.510151739113317,127829347
2010-03-05,13.947964668273926,14.033500009429522,13.841416312518183,13.877262154668413,157074555
2010-03-08,13.905197143554688,13.97194486595834,13.868856243625297,13.962055998966196,95813793
2010-03-09,13.848586082458496,13.95908923113344,13.757364663597743,13.840181444313176,127540267
2010-03-10,14.250555038452148,14.301232767391056,13.898523819647197,13.93684211964301,227043838
2010-03-11,14.366495132446289,14.491832048156619,14.194930343277218,14.19641267941245,169966698
2010-03-12,14.326940536499023,14.543003805840689,14.31754672824281,14.53954312839362,110548817
2010-03-15,13.922501564025879,14.077503178836272,13.745002707205114,14.009025121918848,186853758
2010-03-16,13.972439765930176,14.052041978680197,13.86267778502936,13.889129819458272,137774484
2010-03-17,13.981338500976562,14.126947271621477,13.948954281942818,14.049075397797992,133362007
2010-03-18,14.002104759216309,14.052536372155794,13.917063531353094,13.960572842677909,71354455
2010-03-19,13.843889236450195,14.041659015072709,13.776647398129558,13.843889236450195,192486794
2010-03-22,13.782086372375488,14.013229540079452,13.702484159793984,13.747723811924407,160792439
2010-03-23,13.571954727172852,13.802109661464314,13.398906651693224,13.770713667877857,220876809
2010-03-24,13.777884483337402,13.840182365046449,13.342049207152655,13.485679645613857,263592319
2010-03-25,13.91508674621582,14.140543838438111,13.810762838246273,13.819662535037272,157825359
2010-03-26,13.910388946533203,14.026579117319457,13.8443842816187,13.974170107104035,108252241
2010-03-29,13.90445613861084,13.960572880033274,13.857979315119822,13.918051792700483,124645457
2010-03-30,14.009769439697266,14.032512794718462,13.850811117446899,13.913850165781966,79412546
2010-03-31,14.019905090332031,14.084674476313781,13.913355782414403,13.968731359313464,121686407
2010-04-01,14.06143569946289,14.176389642743816,13.981091372527056,14.124474744938754,84423257
2010-04-05,14.116070747375488,14.211741072095268,14.066380298219807,14.113351237699819,76345092
2010-04-06,14.047097206115723,14.113102813778218,13.977382918370886,14.077751084570675,82712870
